"","IDPROV","PROVINCIA","Muertes","POB2017","MuertesPond"
"165","2103","CARABAYA",109,73322,148.659338261368
"166","2104","CHUCUITO",161,89002,180.894811352554
"167","2105","EL COLLAO",180,63878,281.787156767588
"168","2106","HUANCANE",123,57651,213.352760576573
"169","2107","LAMPA",101,40856,247.209712159781
"170","2108","MELGAR",170,67138,253.209806666865
"171","2109","MOHO",32,19753,162.000708753101
"172","2110","SAN ANTONIO DE PUTINA",47,36113,130.147038462603
"173","2111","SAN ROMAN",1199,307417,390.023973950692
"174","2112","SANDIA",77,50742,151.7480588073
"175","2113","YUNGUYO",130,36939,351.931562846856
"176","2201","MOYOBAMBA",388,122365,317.084133534916
"177","2202","BELLAVISTA",177,55033,321.625206694165
"178","2203","EL DORADO",74,36752,201.349586417066
"179","2204","HUALLAGA",94,27506,341.743619573911
"180","2205","LAMAS",208,81521,255.148980017419
"181","2206","MARISCAL CACERES",280,64626,433.2621545508
"182","2207","PICOTA",145,40545,357.627327660624
"183","2208","RIOJA",303,122544,247.25812769291
"184","2209","SAN MARTIN",1018,193095,527.201636500168
"185","2210","TOCACHE",192,69394,276.680981064645
"186","2301","TACNA",1798,306363,586.885492047016
"187","2302","CANDARAVE",12,6102,196.656833824975
"188","2303","JORGE BASADRE",32,10773,297.038893530122
"189","2304","TARATA",27,6094,443.058746307844
"190","2401","TUMBES",1155,154962,745.344019824215
"191","2402","CONTRALMIRANTE VILLAR",131,21057,622.120909911193
"192","2403","ZARUMILLA",235,48844,481.123577102612
"193","2501","CORONEL PORTILLO",2733,384168,711.407509214719
"194","2502","ATALAYA",105,49324,212.878112075257
"195","2503","PADRE ABAD",177,60107,294.474853178498
"196","2504","PURUS",5,2860,174.825174825175
"128","701 y 1501","LIMA METROPOLITANA",89372,9569468,933.928615467443
