fid,UBIGEO,CODDPTO,NOMBDPTO,CODPROV,NOMBPROV,CODDIST,NOMBDIST,CODCCPP,NOMCCPP,CODZONA,SUFZONA,CODMZNA,SUFMZNA,CIUDAD,IDMANZANA,ID
"2562","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"019","10","011",A,CHIMBOTE,02180901910011A,"2562"
"2563","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"019","10","049",A,CHIMBOTE,02180901910049A,"2563"
"2564","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"019","10","049",,CHIMBOTE,"02180901910049","2564"
"2565","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"019","10","065",A,CHIMBOTE,02180901910065A,"2565"
"2566","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"019","02","014",D,CHIMBOTE,02180901902014D,"2566"
"2567","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"019","02","015",P,CHIMBOTE,02180901902015P,"2567"
"2568","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"019","02","015",O,CHIMBOTE,02180901902015O,"2568"
"2569","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"019","02","015",R,CHIMBOTE,02180901902015R,"2569"
"2570","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"019","02","015",Q,CHIMBOTE,02180901902015Q,"2570"
"2571","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"019","02","016",I,CHIMBOTE,02180901902016I,"2571"
"2572","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"019","02","016",G,CHIMBOTE,02180901902016G,"2572"
